Tool,Filename,Ground_Truth_Label,Detected_By_Tool,Result
Semgrep,human_sql_01.py,vulnerable,True,TP
Semgrep,human_sql_02.py,vulnerable,True,TP
Semgrep,human_sql_03.py,vulnerable,True,TP
Semgrep,human_sql_04.py,vulnerable,True,TP
Semgrep,human_sql_05.py,vulnerable,True,TP
Semgrep,human_sql_06.py,vulnerable,True,TP
Semgrep,human_sql_07.py,vulnerable,True,TP
Semgrep,human_sql_08.py,vulnerable,True,TP
Semgrep,human_sql_09.py,vulnerable,True,TP
Semgrep,human_sql_10.py,vulnerable,True,TP
Semgrep,human_cmd_01.py,vulnerable,False,FN
Semgrep,human_cmd_02.py,vulnerable,False,FN
Semgrep,human_cmd_03.py,vulnerable,True,TP
Semgrep,human_cmd_04.py,vulnerable,True,TP
Semgrep,human_cmd_05.py,vulnerable,False,FN
Semgrep,human_cmd_06.py,vulnerable,True,TP
Semgrep,human_cmd_07.py,vulnerable,False,FN
Semgrep,human_cmd_08.py,vulnerable,True,TP
Semgrep,human_cmd_09.py,vulnerable,False,FN
Semgrep,human_cmd_10.py,vulnerable,True,TP
Semgrep,human_path_01.py,vulnerable,False,FN
Semgrep,human_path_02.py,vulnerable,False,FN
Semgrep,human_path_03.py,vulnerable,False,FN
Semgrep,human_path_04.py,vulnerable,False,FN
Semgrep,human_path_05.py,vulnerable,False,FN
Semgrep,human_path_06.py,vulnerable,False,FN
Semgrep,human_path_07.py,vulnerable,False,FN
Semgrep,human_path_08.py,vulnerable,False,FN
Semgrep,human_path_09.py,vulnerable,False,FN
Semgrep,human_path_10.py,vulnerable,False,FN
Semgrep,human_secret_01.py,vulnerable,False,FN
Semgrep,human_secret_02.py,vulnerable,False,FN
Semgrep,human_secret_03.py,vulnerable,False,FN
Semgrep,human_secret_04.py,vulnerable,False,FN
Semgrep,human_secret_05.py,vulnerable,False,FN
Semgrep,human_secret_06.py,vulnerable,False,FN
Semgrep,human_secret_07.py,vulnerable,False,FN
Semgrep,human_secret_08.py,vulnerable,False,FN
Semgrep,human_secret_09.py,vulnerable,False,FN
Semgrep,human_secret_10.py,vulnerable,False,FN
Semgrep,human_eval_01.py,vulnerable,True,TP
